Date,Close,Volume,Daily_Return_Pct,Year,Month,DayOfWeek,Quarter
2020-01-03 00:00:00,29.53,266677500.0,2.963,2020,1,4,1
2020-01-06 00:00:00,30.1,151995000.0,1.925,2020,1,0,1
2020-01-07 00:00:00,31.27,268231500.0,3.88,2020,1,1,1
2020-01-08 00:00:00,32.81,467164500.0,4.92,2020,1,2,1
2020-01-09 00:00:00,32.09,426606000.0,-2.195,2020,1,3,1
2020-01-10 00:00:00,31.88,194392500.0,-0.663,2020,1,4,1
2020-01-13 00:00:00,34.99,397764000.0,9.769,2020,1,0,1
2020-01-14 00:00:00,35.86,434943000.0,2.488,2020,1,1,1
2020-01-15 00:00:00,34.57,260532000.0,-3.61,2020,1,2,1
2020-01-16 00:00:00,34.23,326050500.0,-0.966,2020,1,3,1
2020-01-17 00:00:00,34.03,204436500.0,-0.582,2020,1,4,1
2020-01-21 00:00:00,36.48,267052500.0,7.189,2020,1,1,1
2020-01-22 00:00:00,37.97,470535000.0,4.086,2020,1,2,1
2020-01-23 00:00:00,38.15,294765000.0,0.464,2020,1,3,1
2020-01-24 00:00:00,37.65,215304000.0,-1.29,2020,1,4,1
2020-01-27 00:00:00,37.2,204121500.0,-1.204,2020,1,0,1
2020-01-28 00:00:00,37.79,176827500.0,1.591,2020,1,1,1
2020-01-29 00:00:00,38.73,267022500.0,2.485,2020,1,2,1
2020-01-30 00:00:00,42.72,435085500.0,10.296,2020,1,3,1
2020-01-31 00:00:00,43.37,235789500.0,1.523,2020,1,4,1
2020-02-03 00:00:00,52.0,705975000.0,19.895,2020,2,0,1
2020-02-04 00:00:00,59.14,914082000.0,13.726,2020,2,1,1
2020-02-05 00:00:00,48.98,726357000.0,-17.176,2020,2,2,1
2020-02-06 00:00:00,49.93,598212000.0,1.941,2020,2,3,1
2020-02-07 00:00:00,49.87,255952500.0,-0.119,2020,2,4,1
2020-02-10 00:00:00,51.42,370338000.0,3.103,2020,2,0,1
2020-02-11 00:00:00,51.63,175462500.0,0.402,2020,2,1,1
2020-02-12 00:00:00,51.15,180337500.0,-0.916,2020,2,2,1
2020-02-13 00:00:00,53.6,394339500.0,4.784,2020,2,3,1
2020-02-14 00:00:00,53.34,235405500.0,-0.494,2020,2,4,1
2020-02-18 00:00:00,57.23,245725500.0,7.296,2020,2,1,1
2020-02-19 00:00:00,61.16,381345000.0,6.876,2020,2,2,1
2020-02-20 00:00:00,59.96,264523500.0,-1.963,2020,2,3,1
2020-02-21 00:00:00,60.07,214722000.0,0.177,2020,2,4,1
2020-02-24 00:00:00,55.59,227883000.0,-7.459,2020,2,0,1
2020-02-25 00:00:00,53.33,259357500.0,-4.063,2020,2,1,1
2020-02-26 00:00:00,51.92,211282500.0,-2.639,2020,2,2,1
2020-02-27 00:00:00,45.27,364158000.0,-12.815,2020,2,3,1
2020-02-28 00:00:00,44.53,363343500.0,-1.622,2020,2,4,1
2020-03-02 00:00:00,49.57,302925000.0,11.322,2020,3,0,1
2020-03-03 00:00:00,49.7,386760000.0,0.254,2020,3,1,1
2020-03-04 00:00:00,49.97,225735000.0,0.535,2020,3,2,1
2020-03-05 00:00:00,48.3,162790500.0,-3.33,2020,3,3,1
2020-03-06 00:00:00,46.9,189943500.0,-2.907,2020,3,4,1
2020-03-09 00:00:00,40.53,256105500.0,-13.573,2020,3,0,1
2020-03-10 00:00:00,43.02,233916000.0,6.14,2020,3,1,1
2020-03-11 00:00:00,42.28,199837500.0,-1.72,2020,3,2,1
2020-03-12 00:00:00,37.37,283636500.0,-11.617,2020,3,3,1
2020-03-13 00:00:00,36.44,339604500.0,-2.485,2020,3,4,1
2020-03-16 00:00:00,29.67,307342500.0,-18.578,2020,3,0,1
2020-03-17 00:00:00,28.68,359919000.0,-3.341,2020,3,1,1
2020-03-18 00:00:00,24.08,356793000.0,-16.034,2020,3,2,1
2020-03-19 00:00:00,28.51,452932500.0,18.388,2020,3,3,1
2020-03-20 00:00:00,28.5,424282500.0,-0.026,2020,3,4,1
2020-03-23 00:00:00,28.95,246817500.0,1.581,2020,3,0,1
2020-03-24 00:00:00,33.67,343428000.0,16.282,2020,3,1,1
2020-03-25 00:00:00,35.95,318340500.0,6.782,2020,3,2,1
2020-03-26 00:00:00,35.21,260710500.0,-2.057,2020,3,3,1
2020-03-27 00:00:00,34.29,215661000.0,-2.613,2020,3,4,1
2020-03-30 00:00:00,33.48,179971500.0,-2.378,2020,3,0,1
2020-03-31 00:00:00,34.93,266572500.0,4.355,2020,3,1,1
2020-04-01 00:00:00,32.1,200298000.0,-8.099,2020,4,2,2
2020-04-02 00:00:00,30.3,297876000.0,-5.625,2020,4,3,2
2020-04-03 00:00:00,32.0,338431500.0,5.62,2020,4,4,2
2020-04-06 00:00:00,34.42,223527000.0,7.548,2020,4,0,2
2020-04-07 00:00:00,36.36,268797000.0,5.658,2020,4,1,2
